Topic,topic_size,Name,Representation,Representative_Docs,top_terms
60,20,60_miles_travelled_road_rail,"['miles', 'travelled', 'road', 'rail', 'he', 'argyle', 'by', 'mr', 'annada', 'mohan']","['Argyle Road He Travelled Miles By Rail And Miles By Road miles. Argyle Road He Travelled Miles By Rail And Miles By Road miles. Argyle Road He Travelled Miles By Rail And Miles By Road miles. Argyle Road He Travelled Miles By Rail And Miles By Road miles. Argyle Road He Travelled Miles By Rail And Miles By Road miles. Argyle Road He Travelled Miles By Rail And Miles By Road miles. Argyle Road He Travelled Miles By Rail And Miles By Road miles. Argyle Road Mr. Aitchison Was On Tour For Days day. Argyle Road Mr. Aitchison Was On Tour For Days day. Argyle Road Mr. Aitchison Was On Tour For Days day. A. Ramachandra Ayyar Mr. Aitchison Was On Tour For Days Argyle Road.', 'W. L He Travelled Miles By Rail And Miles By Road Argyle Road. W. L He Travelled Miles By Rail And Miles By Road Argyle Road. W. L He Travelled Miles By Rail And Miles By Road Argyle Road. W. L Administration Of The Department A Medical Inspector.', 'pargan He Travelled Miles By Rail And Miles By Road Argyle Road. west He Travelled Miles By Rail And Miles By Road Argyle Road.']","miles, travelled, road, rail, he, argyle, by, mr"
61,19,61_west_abundant_brahmin_private,"['west', 'abundant', 'brahmin', 'private', 'good', 'circle', 'health', 'camp', 'saraswat', 'gaud']","['west It Is Most Prevalent In west. west It Is Most Prevalent In west. west Eastern At Rs. Per Mensem birbutia. west Continued Throughout July months. west August months.', 'west Air west. west Air west.', 'west Has Been Good And Abundant During The Year Abdool Majid Khan. west Has Been Good And Abundant During The Year Abdool Majid Khan. west Has Been Good And Abundant During The Year Darjeeling. west Has Been Good And Abundant During The Year Babu M. L. Dutt. west Has Been Good And Abundant During The Year Rajshahi. west Has Been Good And Abundant During The Year d. west Has Been Good And Abundant During The Year sampati. west Has Been Good And Abundant During The Year birbutia. west Has Been Good And Abundant During The Year Maulvi Karim Baksh Sarkar. west Has Been Good And Abundant During The Year Babu C. H. Sen Gupta. west Has Been Good And Abundant During The Year Maulvi M. A. Khan. west Has Been Good And Abundant During The Year Babu M. R. Sen Gupta. west Age Of Serum Is Abdool Majid Khan.']","west, abundant, brahmin, private, good, circle, health, camp"
62,19,62_hmatozoa_bwf_corpuscles_hmatozoon,"['hmatozoa', 'bwf', 'corpuscles', 'hmatozoon', 'cross', 'absence', 'casts', 'swarming', 'few', 'blood']","['hèmatozoa Swarming B.W.F. corpuscles. hèmatozoa Swarming B.W.F. corpuscles. hèmatozoa Swarming B.W.F. corpuscles. hèmatozoa Swarming B.W.F. corpuscles. petechiæ Improved But Absconded Before Completion Of Treatment conjunctival membranes. petechiæ Improved But Absconded Before Completion Of Treatment conjunctival membranes. petechias Covered By conjunctival membranes. petechias Covered By conjunctival membranes. hèmatozoa Affects The Masses More Than The Wealthy B.W.F. corpuscles. hèmatozoa Absence Of Cross B.W.F. corpuscles. hèmatozoa Absent Or Very Small In Amount And Not Showing Organic Structure B.W.F. corpuscles. petechiæ Improved But Absconded Before Completion Of Treatment conjunctivae.', 'hæmatozoa Absence Of Cross B.W.F. corpuscles. hæmatozoa Absence Of Cross B.W.F. corpuscles. hæmatozoa Absence Of Cross B.W.F. corpuscles. hæmatozoa Absence Of Cross B.W.F. corpuscles. hæmatozoa Absence Of Cross B.W.F. corpuscles. hæmatozoa Absence Of Cross B.W.F. corpuscles. hæmatozoa Absence Of Cross B.W.F. corpuscles. hæmatozoa Absence Of Cross B.W.F. corpuscles. hæmatozoa Absence Of Cross B.W.F. corpuscles. hæmatozoa Absence Of Cross B.W.F. corpuscles. hæmatozoa Absence Of Cross B.W.F. corpuscles. hæmatozoa Absence Of Cross B.W.F. corpuscles. medicine Administered All animals. Air temperature Account For The Falling-off In Work Air temperature.', 'hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. hæmatozoon Absence Of Cross B.W.F. corpuscles. Air temperature Account For The Falling-off In Work C. Air temperature Account For The Falling-off In Work C. Air temperature Account For The Falling-off In Work C. Air temperature Account For The Falling-off In Work C. Air temperature Account For The Falling-off In Work C. Air temperature Account For The Falling-off In Work C. Air temperature Account For The Falling-off In Work C. Air temperature Account For The Falling-off In Work C. Air temperature Account For The Falling-off In Work C. Air temperature Account For The Falling-off In Work C. haematozoon Absence Of Cross B.W.F. corpuscles.']","hmatozoa, bwf, corpuscles, hmatozoon, cross, absence, casts, swarming"
63,18,63_family_setarinae_husband_married,"['family', 'setarinae', 'husband', 'married', 'widower', 'youngest', 'complain', 'abnormality', 'scorbutic', 'weakness']","['swelling Appeared In His Groin Before He Died family setarinae. bubo Symptoms family setarinae. Abyssinia House Searches family setarinae.', 'family setarinae Lost To The Disease family setarinae.', 'family setarinae Disease family setarinae. family setarinae Disease family setarinae. men Disease family setarinae. men 2s wife. family setarinae All Attempts At Artificial Cultivation Of Have As Yet Failed To Give wife.']","family, setarinae, husband, married, widower, youngest, complain, abnormality"
64,18,64_tola_annas_tolas_pies,"['tola', 'annas', 'tolas', 'pies', 'charas', 'pie', 'bhang', 'ganja', 'rs', 'anna']","['All the districts and agencies of the Province Bhang, Tolas, Pies. Ganja, Tola, Annas. Charas, Tola, To Annas c. W. L Bhang, Tolas, Pies. Ganja, Tola, Annas. Charas, Tola, To Annas pie.', 'A malner Bhang, Tolas, Pies. Ganja, Tola, Annas. Charas, Tola, To Annas pie. A malner Bhang, Tolas, Pies. Ganja, Tola, Annas. Charas, Tola, To Annas pie.', 'pie Bhang, Tolas, Pies. Ganja, Tola, Annas. Charas, Tola, To Annas c. pie Bhang, Tolas, Pies. Ganja, Tola, Annas. Charas, Tola, To Annas c. pie Bhang, Tolas, Pies. Ganja, Tola, Annas. Charas, Tola, To Annas c.']","tola, annas, tolas, pies, charas, pie, bhang, ganja"
65,18,65_associated_parturition_lactation_with,"['associated', 'parturition', 'lactation', 'with', 'mania', 'melancholia', 'puerperal', 'puerporal', 'agrameerut', 'insanity']","['parturition Associated With lactation.', 'melancholia Associated With Parturition and lactation (puerperal. melancholia Associated With C. L. ovary. melancholia Associated With year old. mania Associated With Parturition and lactation (puerperal. mania Associated With C. L. ovary. mania Associated With year old.', 'melancholia Associated With lactation. melancholia Associated With lactation. melancholia Associated With lactation. melancholia Associated With parturition. melancholia Associated With parturition. melancholia Associated With parturition. mania Associated With lactation. mania Associated With lactation. mania Associated With parturition.']","associated, parturition, lactation, with, mania, melancholia, puerperal, puerporal"
66,17,66_injury_injuries_head_wounds,"['injury', 'injuries', 'head', 'wounds', 'amount', 'bottle', 'sensation', 'tender', 'position', 'skull']","['injury Head Of head. injury Head Of head.', 'injury Head Of general.', 'rheumatic affections Cases Of affection. fracture Occurred In An Emeute Amongst A Score Of Pathan Sepoys ; The skull. wounds and injuries Great Majority Of Them Of A Trifling Nature A case. febricula Free For Weeks In March ; One In December ; And For Admission and Discharge Book. typhoid fever A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots A dark room. Acute Enteritis Ague A case. Acute Enteritis Amount Of Dysphagia A case. Acute Enteritis Was At First Diagnosed As Measles scarlet rash. Abyssinia Free For Weeks In March ; One In December ; And For Admission and Discharge Book.']","injury, injuries, head, wounds, amount, bottle, sensation, tender"
67,16,67_ditto_lost_processes_spinal,"['ditto', 'lost', 'processes', 'spinal', 'livestocks', 'interossei', 'friend', 'soreback', 'loss', 'destruction']","['blackquarter serum Ditto Lost loss.', 'doses Ditto Lost doses.', 'disease Ditto Lost Autopsies were made on.']","ditto, lost, processes, spinal, livestocks, interossei, friend, soreback"
68,16,68_local_agencies_province_fund,"['local', 'agencies', 'province', 'fund', 'districts', 'bodies', 'provincial', 'paid', 'totals', 'previous']","['All the districts and agencies of the Province For two previous years.', 'local Paid From Provincial Or Local Funds fund. All the districts and agencies of the Province Paid From Provincial Or Local Funds fund.', 'All the districts and agencies of the Province Whether Paid From Provincial Or Local Fund local.']","local, agencies, province, fund, districts, bodies, provincial, paid"
69,15,69_employment_previous_patients_fit,"['employment', 'previous', 'patients', 'fit', 'involves', 'of', 'compounders', 'drivers', 'tracts', 'agency']","['patients Previous Employment Of Agency Tracts. patients Previous Employment Of Agency Tracts. patients Previous Employment Of Agency Tracts. patients Previous Employment Of domestic servant. patients Previous Employment Of domestic servant. patients Previous Employment Of cook. patients Previous Employment Of cook. patients Previous Employment Of fisherman. patients Previous Employment Of fisherman. patients Previous Employment Of cultivator. patients Previous Employment Of cultivator. patients Previous Employment Of tea dealer. patients Previous Employment Of painter. patients Previous Employment Of 1) Hoplocephalus curtus, (2) Echis carinata, (3) Trimeresurus gramineus and (4) Crotalus adamanteus. patients Previous Employment Of policeman (constable. patients Previous Employment Of priest. patients Previous Employment Of beggar carpenter. patients Previous Employment Of vagabond weaver. patients Previous Employment Of fitter garden mohorrir goldsmith.', 'patients Previous Employment Of Agra-Meerut. patients Previous Employment Of Agra-Meerut. patients Previous Employment Of Agra-Meerut. patients Previous Employment Of African grass. patients Previous Employment Of African grass. patients Previous Employment Of 2nd nagpada kamathlpura. patients Previous Employment Of 2nd nagpada kamathlpura. patients Previous Employment Of cow. patients Previous Employment Of compounder. patients Previous Employment Of goldsmith. patients Previous Employment Of blacksmith. patients Previous Employment Of peon. patients Previous Employment Of general. patients Previous Employment Of Buffalo No. patients Previous Employment Of d. patients Previous Employment Of 48s clothing. patients Previous Employment Of drummer. patients Previous Employment Of garden muharrir. patients Previous Employment Of military police. patients Previous Employment Of carter. patients Previous Employment Of clerk. patients Previous Employment Of hide beller. patients Previous Employment Of beggar. patients Previous Employment Of coolie. patients Previous Employment Of potter. patients Previous Employment Of branch postmaster. patients Previous Employment Of contractor. patients Previous Employment Of fireman. patients Previous Employment Of carpenter. Criminal Lunatics Admitted Into c.', 'patients Previous Employment Of Absent. patients Previous Employment Of Absent. patients Previous Employment Of Absent. patients Previous Employment Of c. patients Previous Employment Of c. patients Previous Employment Of c. patients Previous Employment Of 1st Class. patients Previous Employment Of 1st Class. patients Previous Employment Of birbutia. patients Previous Employment Of birbutia. patients Previous Employment Of pargan. patients Previous Employment Of pargan. patients Previous Employment Of Labourers. patients Previous Employment Of Public servants. patients Previous Employment Of Professionals. patients Previous Employment Of Shop-keepers. patients Previous Employment Of Priests. patients Previous Employment Of Domestic servants. patients Previous Employment Of Cultivators. patients Previous Employment Of Landlords.']","employment, previous, patients, fit, involves, of, compounders, drivers"
70,15,70_hindus_agrameerut_hindoos_fatality,"['hindus', 'agrameerut', 'hindoos', 'fatality', 'females', 'opposition', 'caste', 'majority', 'muhammadans', 'mortalities']","['Muhammadans Admitted Already Suffering From all Hindus. Other Hindus Have Fatality Rate Of per. all Hindus Have Fatality Rate Of general.', 'hindus Will Be Hindus Of Which Per Cent 1st Class. hindus Containing Less Than Per Cent hindus.', 'c Have Been Entered As Hindus Hindus. c Class 1st Class.']","hindus, agrameerut, hindoos, fatality, females, opposition, caste, majority"
